feature,model_used,source,source_detail,known_before_race,future_race_used,same_race_result_risk,verdict
margin_text,False,builder placeholder,Post-race margin concept,Post-race margin concept,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
margin_lengths_numeric,False,builder placeholder,Post-race margin concept,Post-race margin concept,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
last_workout_date,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
last_workout_distance,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
last_workout_time,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
days_since_last_workout,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
workout_count_last_7d,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
workout_count_last_14d,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
race_no,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_jockey_change,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_trainer_change,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_equipment_change,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_veterinary_issue,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_lameness_issue,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_steward_incident,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_recent_scratch,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
incident_count_last_30d,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
veterinary_count_last_180d,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
steward_incident_count_last_180d,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
